Player,Role,Team,Opponent_Team,Opponent_Player,Date,Week,Day,Patch,Stage,No_Game,all_Games,Format,Game_of_day,Side,Time,Ban,Ban_Opponent,Pick,Pick_Opponent,Champion,Champion_Opponent,Outcome,Kills_Team,Turrets_Team,Dragon_Team,Baron_Team,Level,Kills,Deaths,Assists,KDA,CS,CS_in_Teams_Jungle,CS_in_Enemy_Jungle,CSM,Golds,GPM,GOLD%,Vision_Score,Wards_placed,Wards_destroyed,Control_Wards_Purchased,Detector_Wards_Placed,VSPM,WPM,VWPM,WCPM,VS%,Total_damage_to_Champion,Physical_Damage,Magic_Damage,True_Damage,DPM,DMG%,K+A_Per_Minute,KP%,Solo_kills,Double_kills,Triple_kills,Quadra_kills,Penta_kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives_Stolen,Damage_dealt_to_turrets,Damage_dealt_to buildings,Total_heal,Total_Heals_On_Teammates,Damage_self_mitigated,Total_Damage_Shielded_On_Teammates,Time_ccing_others,Total_Time_CC_Dealt,Total_damage_taken,Total_Time_Spent_Dead,Consumables_purchased,Items_Purchased,Shutdown_bounty_collected,Shutdown_bounty_lost
Adam,TOP,BDS,G2,Brokenblade,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Blue,0:38:17,Draven,Ashe,Taliyah,Smolder,Aatrox,Volibear,Loss,11,5,3,1,18,3,4,4,1.8,277,24,0,7.2,13745,359,20.7,60,17,17,12,12,1.57,0.44,0.31,0.44,16.5,16209,13606,2603,0,423,18.3,0.18,63.6,0,0,0,0,0,-313,0,-62,0,0,3014,3014,18228,0,33082,0,20,192,43652,134,17,35,450,0
Sheo,JUNGLE,BDS,G2,Yike,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Blue,0:38:17,Twisted_Fate,Vi,Zeri,Ahri,Poppy,Lee_Sin,Loss,11,5,3,1,16,0,5,6,1.2,207,185,0,5.4,11121,290,16.7,61,9,16,8,8,1.59,0.24,0.21,0.42,16.8,6165,5328,525,312,161,7,0.16,54.5,0,0,0,0,0,-905,-7,-660,0,0,199,199,15206,0,48974,0,24,948,32472,131,10,30,0,0
nuc,MID,BDS,G2,Caps,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Blue,0:38:17,Kalista,Orianna,Nautilus,Braum,Taliyah,Ahri,Loss,11,5,3,1,18,2,6,7,1.5,322,8,0,8.4,14508,379,21.8,31,11,5,6,5,0.81,0.29,0.16,0.13,8.5,24288,578,23427,283,634,27.5,0.24,81.8,0,0,0,0,0,-652,-12,-1200,-1,0,4407,4407,2228,0,14370,0,30,554,20471,162,10,33,0,0
Ice,ADCARRY,BDS,G2,Hans_Sama,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Blue,0:38:17,Jayce,Renekton,Poppy,Lee_Sin,Zeri,Smolder,Loss,11,5,3,1,18,6,2,3,4.5,412,19,0,10.8,18561,485,28,73,18,24,7,6,1.91,0.47,0.18,0.63,20.1,36659,28930,6770,959,958,41.5,0.24,81.8,0,1,0,0,0,947,18,681,1,0,4569,4569,4522,0,19895,0,14,208,15226,56,10,31,700,700
Labrov,SUPPORT,BDS,G2,Mikyx,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Blue,0:38:17,Jax,Sejuani,Aatrox,Volibear,Nautilus,Braum,Loss,11,5,3,1,13,0,5,10,2,32,0,0,0.8,8467,221,12.8,139,70,14,17,16,3.63,1.83,0.44,0.37,38.2,5103,754,3125,1224,133,5.8,0.26,90.9,0,0,0,0,0,-362,7,34,0,0,169,169,742,0,26369,2126,40,158,15263,173,20,35,0,0
Brokenblade,TOP,G2,BDS,Adam,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Red,0:38:17,Ashe,Draven,Smolder,Taliyah,Volibear,Aatrox,Win,22,9,3,1,18,0,2,14,7,279,4,0,7.3,13948,364,19,56,25,9,7,7,1.46,0.65,0.18,0.24,14.7,15237,6745,8169,323,398,15.1,0.37,63.6,0,0,0,0,0,313,0,62,0,0,4753,4753,10015,0,80378,0,22,603,37009,105,10,27,0,150
Yike,JUNGLE,G2,BDS,Sheo,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Red,0:38:17,Vi,Twisted_Fate,Ahri,Zeri,Lee_Sin,Poppy,Win,22,9,3,1,17,7,3,13,6.7,215,203,0,5.6,14296,373,19.5,61,20,9,10,8,1.59,0.52,0.26,0.24,16,17785,15034,1943,808,465,17.6,0.52,90.9,0,1,0,0,0,905,7,660,0,1,3868,3868,18175,0,61033,2046,15,565,31247,90,11,31,0,600
Caps,MID,G2,BDS,nuc,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Red,0:38:17,Orianna,Kalista,Braum,Nautilus,Ahri,Taliyah,Win,22,9,3,1,18,4,2,14,9,336,2,0,8.8,16927,442,23.1,73,27,15,6,5,1.91,0.71,0.16,0.39,19.1,26526,2148,18542,5836,693,26.3,0.47,81.8,1,0,0,0,0,652,12,1200,1,0,10324,10324,9830,1758,14265,0,20,108,22342,86,9,31,650,300
Hans_Sama,ADCARRY,G2,BDS,Ice,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Red,0:38:17,Renekton,Jayce,Lee_Sin,Poppy,Smolder,Zeri,Win,22,9,3,1,18,11,2,2,6.5,397,39,0,10.4,18735,489,25.5,42,17,12,5,5,1.1,0.44,0.13,0.31,11,38071,20068,8781,9222,994,37.7,0.34,59.1,0,1,0,0,1,-947,-18,-681,-1,0,5873,5873,8486,0,11899,0,12,480,17244,52,8,25,50,100
Mikyx,SUPPORT,G2,BDS,Labrov,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,3,Red,0:38:17,Sejuani,Jax,Volibear,Aatrox,Braum,Nautilus,Win,22,9,3,1,14,0,2,17,8.5,32,0,0,0.8,9471,247,12.9,150,82,19,23,23,3.92,2.14,0.6,0.5,39.3,3296,758,2398,140,86,3.3,0.44,77.3,0,0,0,0,0,362,-7,-34,0,0,288,288,5036,949,22812,2055,31,128,18064,52,27,44,0,0
